Date,MinTemp,MaxTemp,Humidity,Rainfall,Sunshine,WindGustSpeed,WindGustDir,Rain,RainTomorrow
9/20/2021,24.8,31.4,75,,6.7,2,180,berawan,hujan sedang
9/21/2021,23.1,31,86,,8.7,3,240,berawan,hujan sedang
9/22/2021,24.2,31.8,81,19.7,4.3,3,300,hujan ringan,hujan sedang
9/23/2021,23.3,34.2,78,1.4,7.6,3,90,hujan ringan,hujan sedang
9/24/2021,23,31.8,84,0,9,4,210,berawan,hujan sedang
9/25/2021,24.2,32,84,8888,7,3,180,hujan ekstrem,hujan sedang
9/26/2021,24,31.4,82,8888,5.9,3,210,hujan ekstrem,hujan sedang
9/27/2021,24,32,75,8888,4.4,2,200,hujan ekstrem,hujan sedang
9/28/2021,23.8,31,77,0,8.9,2,90,berawan,hujan sedang
9/29/2021,21,31.2,82,0,5.4,2,200,berawan,hujan sedang
9/30/2021,21.2,31.4,81,0,9.2,3,180,berawan,hujan sedang
8/1/2021,24,29.5,85,5.9,0.7,4,180,hujan ringan,hujan sedang
8/2/2021,23.6,30.4,91,2,3.3,3,180,hujan ringan,hujan sedang
8/3/2021,22.8,30.6,93,2.8,0.9,2,180,hujan ringan,hujan sedang
8/4/2021,23,30.6,89,1.4,0,2,200,hujan ringan,hujan sedang
8/5/2021,23.2,32.2,82,2,6.2,3,260,hujan ringan,hujan sedang
8/6/2021,22.8,33.4,80,1.6,7.4,4,60,hujan ringan,hujan sedang
8/7/2021,24,33.4,83,,7.8,4,240,berawan,hujan sedang
8/8/2021,22.6,32.4,85,0,8.9,2,180,berawan,hujan sedang
8/9/2021,23.2,32.6,81,0,8.4,2,300,berawan,hujan sedang
8/10/2021,23.1,32.2,83,0,7,3,180,berawan,hujan sedang
8/11/2021,21.5,32.2,78,0,8.8,3,90,berawan,hujan sedang
8/12/2021,20.6,30.8,82,,10,4,180,berawan,hujan sedang
8/13/2021,21.6,,82,,5.6,3,200,berawan,hujan sedang
8/14/2021,24,31.2,86,8888,5,2,180,hujan ekstrem,hujan sedang
8/15/2021,22.6,31.6,83,6.4,5.1,2,200,hujan ringan,hujan sedang
8/16/2021,23,31.4,81,,9.6,2,200,berawan,hujan sedang
8/17/2021,23.4,31.6,79,,9.1,2,210,berawan,hujan sedang
8/18/2021,22.8,30.4,86,,9.9,4,240,berawan,hujan sedang
8/19/2021,23,29.9,79,1.8,5.6,3,240,hujan ringan,hujan sedang
8/20/2021,21.8,30,84,0,6.3,4,180,berawan,hujan sedang
8/21/2021,22.8,30.4,84,0,6.1,3,300,berawan,hujan sedang
8/22/2021,23.7,30.3,84,0.8,7.1,2,180,hujan ringan,hujan sedang
8/23/2021,23.2,31.3,79,0,5.3,4,210,berawan,hujan sedang
8/24/2021,24.2,31.4,75,,8.9,2,180,berawan,hujan sedang
8/25/2021,21.6,31.8,82,0,8.6,3,180,berawan,hujan sedang
8/26/2021,21,30.4,78,0,7.1,2,180,berawan,hujan sedang
8/27/2021,22.2,29.6,79,,9.7,2,200,berawan,hujan sedang
8/28/2021,22.2,29.6,84,,7,3,200,berawan,hujan sedang
8/29/2021,22.2,31.4,82,8888,3.9,2,160,hujan ekstrem,hujan sedang
8/30/2021,23,31.4,76,,9.2,2,200,berawan,hujan sedang
8/31/2021,22.8,31.4,80,0,6.5,3,300,berawan,hujan sedang
7/1/2021,23.4,31.6,82,8888,6.4,3,210,hujan ekstrem,hujan sedang
7/2/2021,23,32.4,83,0,5.5,3,90,berawan,hujan sedang
7/3/2021,23,31,82,0,7.5,3,90,berawan,hujan sedang
7/4/2021,23,31.4,82,,6,2,200,berawan,hujan sedang
7/5/2021,21.8,31.6,80,0,8.5,2,180,berawan,hujan sedang
7/6/2021,21.4,31,77,,9.5,4,90,berawan,hujan sedang
7/7/2021,19,31.6,79,0,8.6,4,240,berawan,hujan sedang
7/8/2021,20.4,31.4,85,0,8,2,180,berawan,hujan sedang
7/9/2021,23,,86,8888,7.8,2,210,hujan ekstrem,hujan sedang
7/10/2021,23.8,32,87,16.7,5.6,2,90,hujan ringan,hujan sedang
7/11/2021,23.2,33.1,77,6.4,3.2,4,90,hujan ringan,hujan sedang
7/12/2021,20,32,83,0,9.2,2,200,berawan,hujan sedang
7/13/2021,24,31,84,,8.4,2,180,berawan,hujan sedang
7/14/2021,22.8,29.8,84,,8.2,4,90,berawan,hujan sedang
7/15/2021,23,30.7,78,0,1.7,3,90,berawan,hujan sedang
7/16/2021,20,30,84,0,9.4,5,0,berawan,hujan sedang
7/17/2021,19.8,31,83,0,5.4,4,240,berawan,hujan sedang
7/18/2021,22,31.5,81,0,5.6,2,180,berawan,hujan sedang
7/19/2021,22.2,31.3,86,0,6.7,4,270,berawan,hujan sedang
7/20/2021,23,33.6,81,0,5.8,3,180,berawan,hujan sedang
7/21/2021,23.6,32,80,0,9.4,3,180,berawan,hujan sedang
7/22/2021,23.3,30.7,82,,8.6,2,180,berawan,hujan sedang
7/23/2021,23.4,30.8,83,0,2.9,2,60,berawan,hujan sedang
7/24/2021,23.6,31.4,82,,4.5,2,180,berawan,hujan sedang
7/25/2021,21.5,30.9,79,,9.5,2,180,berawan,hujan sedang
7/26/2021,19.4,31,82,0,9.1,3,180,berawan,hujan sedang
7/27/2021,20.2,31,79,,9.7,2,180,berawan,hujan sedang
7/28/2021,21.6,30.2,83,0,7.9,3,200,berawan,hujan sedang
7/29/2021,21.4,30.4,83,0,8.1,2,200,berawan,hujan sedang
7/30/2021,23.3,31,84,0,6.6,2,240,berawan,hujan sedang
7/31/2021,23.5,28.5,89,0,6,4,180,berawan,hujan sedang
6/1/2021,24,32.9,84,,7,3,180,berawan,hujan sedang
6/2/2021,24,32.3,86,,7.2,3,30,berawan,hujan sedang
6/3/2021,23.2,33.2,84,0,4.6,3,200,berawan,hujan sedang
6/4/2021,23.3,31.8,84,0,7.7,2,200,berawan,hujan sedang
6/5/2021,24.1,33.2,82,,7.5,3,30,berawan,hujan sedang
6/6/2021,24.2,32,85,,7.1,2,200,berawan,hujan sedang
6/7/2021,24,32.4,83,,6.5,3,180,berawan,hujan sedang
6/8/2021,22.6,32.4,84,,8.4,2,200,berawan,hujan sedang
6/9/2021,24.8,32,81,,8.5,2,210,berawan,hujan sedang
6/10/2021,24.7,32,82,0,5.1,2,200,berawan,hujan sedang
6/11/2021,25,32.2,84,0,5.6,2,180,berawan,hujan sedang
6/12/2021,23.5,32,85,1,1.7,3,240,hujan ringan,hujan sedang
6/13/2021,23.5,32.2,83,,5,3,90,berawan,hujan sedang
6/14/2021,22.4,32.4,84,,5.4,3,60,berawan,hujan sedang
6/15/2021,23.6,32.8,90,0.5,4.2,3,260,hujan ringan,hujan sedang
6/16/2021,23.4,32.2,90,9.2,5.9,3,210,hujan ringan,hujan sedang
6/17/2021,23,30.4,82,110,5.6,2,200,hujan sangat lebat,hujan sedang
6/18/2021,,31.6,88,,1.1,2,180,berawan,hujan sedang
6/19/2021,22.8,30.6,90,2.6,6.2,3,270,hujan ringan,hujan sedang
6/20/2021,22.8,31.6,87,22,2.1,2,200,hujan sedang,hujan sedang
6/21/2021,22.8,30.8,87,0,3.3,3,270,berawan,hujan sedang
6/22/2021,22.8,31.2,87,0.5,5.3,3,240,hujan ringan,hujan sedang
6/23/2021,24.8,31.8,88,8888,6,2,180,hujan ekstrem,hujan sedang
6/24/2021,23.8,32,92,27,2.7,2,350,hujan sedang,hujan sedang
6/25/2021,23,31,86,1,0.1,2,90,hujan ringan,hujan sedang
6/26/2021,23.3,32,88,0,2.7,2,180,berawan,hujan sedang
6/27/2021,22,32,88,0.9,7.3,4,240,hujan ringan,hujan sedang
6/28/2021,23.5,31.2,89,91.7,7.4,3,270,hujan lebat,hujan sedang
6/29/2021,21.7,32,84,1,2.9,2,90,hujan ringan,hujan sedang
6/30/2021,23.6,31.2,84,,8.8,2,200,berawan,hujan sedang
5/1/2021,24,33.6,79,,7.4,2,100,berawan,hujan sedang
5/2/2021,24.2,33,80,,6.4,2,180,berawan,hujan sedang
5/3/2021,25,33,84,,8.3,2,210,berawan,hujan sedang
5/4/2021,23.8,33,81,0,6.8,3,200,berawan,hujan sedang
5/5/2021,24.8,32.6,83,0,7.4,3,200,berawan,hujan sedang
5/6/2021,24,33.4,80,0,5.2,3,200,berawan,hujan sedang
5/7/2021,25.4,32,85,,8.7,2,110,berawan,hujan sedang
5/8/2021,24.8,32,85,,4.4,3,200,berawan,hujan sedang
5/9/2021,22,32,80,,2.5,3,210,berawan,hujan sedang
5/10/2021,21.7,32.4,81,0,10.2,3,90,berawan,hujan sedang
5/11/2021,21.6,33,84,,8.1,2,90,berawan,hujan sedang
5/12/2021,22,32.2,81,0,8.4,2,260,berawan,hujan sedang
5/13/2021,22.8,33.2,82,0,6.4,2,300,berawan,hujan sedang
5/14/2021,23.9,33,82,,6.6,3,90,berawan,hujan sedang
5/15/2021,24,33,80,0,7.9,2,200,berawan,hujan sedang
